name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
KTM RC390,135000,2017,Individual,1st owner,21700,237000
Hyosung GT250R,135000,2016,Individual,2nd owner,16500,345000
Royal Enfield Thunder 350,125000,2015,Individual,1st owner,15000,150000
Royal Enfield Thunder 350,120000,2018,Individual,1st owner,18000,150000
Royal Enfield Classic 350,120000,2019,Individual,1st owner,11000,147000
KTM RC200,120000,2018,Individual,1st owner,6000,178000
Royal Enfield Thunder 350,115000,2018,Individual,1st owner,8700,150000
KTM 390 Duke ,115000,2016,Individual,1st owner,7000,240000
Mahindra Mojo XT300,115000,2018,Individual,1st owner,35000,140000
Royal Enfield Classic 350,115000,2017,Individual,1st owner,17000,147000
Royal Enfield Classic 350,111000,2017,Individual,1st owner,17500,147000
Royal Enfield Classic 350,110000,2015,Individual,1st owner,33000,147000
Royal Enfield Thunder 500,110000,2017,Individual,1st owner,14000,190000
Royal Enfield Classic 350,110000,2017,Individual,1st owner,26000,147000
Royal Enfield Thunder 500,105000,2015,Individual,1st owner,5400,190000
Bajaj Pulsar RS200,105000,2018,Individual,1st owner,5700,126000
Royal Enfield Thunder 350,105000,2013,Individual,1st owner,6900,150000
Royal Enfield Bullet 350,105000,2018,Individual,1st owner,6000,117000
Royal Enfield Classic 350,100000,2015,Individual,1st owner,46500,147000
Royal Enfield Classic 500,95000,2014,Individual,1st owner,11500,175000
Royal Enfield Classic 500,90000,2011,Individual,1st owner,40000,175000
Bajaj Avenger 220,90000,2019,Individual,1st owner,1300,95000
Bajaj Avenger 150,75000,2018,Individual,1st owner,7000,80000
Honda CB Hornet 160R,80000,2019,Individual,1st owner,3000,87000
Yamaha FZ S V 2.0,78000,2019,Individual,1st owner,5000,84000
Honda CB Hornet 160R,75000,2019,Individual,1st owner,11000,87000
Yamaha FZ 16,75000,2017,Individual,1st owner,18000,82000
Bajaj Avenger 220,75000,2019,Individual,1st owner,3500,95000
Bajaj Avenger 220,72000,2018,Individual,1st owner,500,95000
TVS Apache RTR 160,65000,2019,Individual,1st owner,11800,81000
Bajaj Pulsar 150,65000,2017,Individual,1st owner,5000,74000
Honda CBR 150,65000,2016,Individual,1st owner,23500,120000
Hero Extreme,65000,2015,Individual,1st owner,16000,78700
Honda CB Hornet 160R,60000,2018,Individual,1st owner,15000,87000
Bajaj Avenger 220 dtsi,60000,2017,Individual,1st owner,16600,95000
Honda CBR 150,60000,2015,Individual,1st owner,32000,120000
Bajaj Avenger 150 street,60000,2018,Individual,1st owner,20000,80000
Yamaha FZ  v 2.0,60000,2017,Individual,1st owner,29000,84000
Yamaha FZ  v 2.0,60000,2018,Individual,1st owner,25000,84000
Bajaj Pulsar  NS 200,60000,2016,Individual,1st owner,25000,99000
TVS Apache RTR 160,60000,2014,Individual,1st owner,19000,81000
Hero Extreme,55000,2016,Individual,1st owner,15000,78700
